"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACCOUNTING_ENTRY";"Position de compte";"C";"Ressource ou crédit"
"ACCOUNTING_ENTRY";"Position de compte";"D";"Emploi ou débit"
"ACCOUNTING_ENTRY";"Position de compte";"B";"Solde"
"ACCOUNTING_ENTRY";"Position de compte";"_Z";"Non applicable"
"ACTIVITY";"Activité économique";"_T";"Total"
"CONF_STATUS";"Statut de confidentialité";"F";"Diffusable"
"COUNTERPART_AREA";"Zone de contrepartie";"W0";"Monde"
"COUNTERPART_AREA";"Zone de contrepartie";"W1";"Reste du monde"
"COUNTERPART_AREA";"Zone de contrepartie";"D0";"Hors Union Européenne"
"COUNTERPART_AREA";"Zone de contrepartie";"W2";"Territoire national"
"COUNTERPART_AREA";"Zone de contrepartie";"W08";"Intérieur vis-à-vis du monde plus reste du monde vis-à-vis de l'intérieur"
"COUNTERPART_AREA";"Zone de contrepartie";"B0";"Union Européenne (Etats membres et institutions)"
"COUNTERPART_AREA";"Zone de contrepartie";"U2";"Zone euro (Etats membres et institutions) "
"COUNTERPART_AREA";"Zone de contrepartie";"4Y";"Institutions de l’Union Européenne"
"COUNTERPART_AREA";"Zone de contrepartie";"B01";"Pays de l’Union Européenne participant au mécanisme de surveillance unique"
"COUNTERPART_AREA";"Zone de contrepartie";"I9";"Pays membres de la Zone Euro (composition fixe, au 1er janvier 2023)"
"COUNTERPART_AREA";"Zone de contrepartie";"K11";"Pays membres de l’Union Européenne et hors de la Zone Euro (composition fixe, au 1er janvier 2023)"
"COUNTERPART_AREA";"Zone de contrepartie";"D6";"Pays hors pays membres de l’Union Européenne (composition fixe, au 31 janvier 2020,  post brexit)"
"COUNTERPART_AREA";"Zone de contrepartie";"B6";"Pays membres de l’Union Européenne (composition fixe, au 31 janvier 2020, post brexit)"
"COUNTERPART_AREA";"Zone de contrepartie";"J9";"Pays hors pays membres de la Zone Euro (composition fixe, au 1er janvier 2023)"
"DECIMALS";"Décimales";"1";"Un"
"DECIMALS";"Décimales";"3";"Trois"
"EXPENDITURE";"Type de dépense de consommation";"_Z";"Total"
"EXPENDITURE";"Type de dépense de consommation";"CP1112";"Cantines, cafétérias et réfectoires (S)"
"EXPENDITURE";"Type de dépense de consommation";"CP04";"Logement, eau, gaz, électricité et autres combustibles"
"EXPENDITURE";"Type de dépense de consommation";"CP121P_122";"Assurances (hors assurance-vie) et services financiers"
"EXPENDITURE";"Type de dépense de consommation";"CP083";"Services d’information et de communication"
"EXPENDITURE";"Type de dépense de consommation";"CPDEP";"Dépense de consommation des ménages"
"EXPENDITURE";"Type de dépense de consommation";"CPDPE";"Dépense de consommation finale pré-engagée"
"EXPENDITURE";"Type de dépense de consommation";"CPHDPE";"Dépense de consommation autre que pré-engagée"
"FREQ";"Fréquence";"A";"Annuel"
"INSTR_ASSET";"Classe d'actifs passifs";"_Z";"Total"
"INSTR_ASSET";"Classe d'actifs passifs";"N1G";"Actifs non financiers produits (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11G";"Actifs fixes par type d’actifs (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N111G";"Logements (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N112G";"Autres bâtiments et ouvrages de génie civil (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1131G";"Matériels de transport (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N1132G";"Équipements TIC (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N115G";"Ressources biologiques cultivées (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N117G";"Droits de propriété intellectuelle (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11MG";"Machines et équipement + systèmes d’armes (N113 + N114) (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11OG";"Autres machines et équipements + systèmes d’armes (N1139+N114) (brut)"
"INSTR_ASSET";"Classe d'actifs passifs";"N11N";"Actifs fixes par type d’actifs (net)"
"OBS_STATUS";"Statut de l'observation";"P";"Valeur provisoire"
"OBS_STATUS";"Statut de l'observation";"A";"Normale"
"OBS_STATUS";"Statut de l'observation";"L";"Valeur manquante : les données existent mais ne sont pas collectées (non disponible : nd)"
"OBS_STATUS";"Statut de l'observation";"M";"Valeur manquante : les données n’existent pas (sans objet : so)"
"OBS_STATUS_FR";"Version";"PROV";"Provisoire"
"OBS_STATUS_FR";"Version";"SD";"Semi-définitif"
"OBS_STATUS_FR";"Version";"D";"Définitif"
"PRICES";"Valorisation des prix";"V";"En valeur aux prix courants"
"PRICES";"Valorisation des prix";"D";"Déflateur"
"PRICES";"Valorisation des prix";"Y";"Aux prix de l’année précédente"
"PRICES";"Valorisation des prix";"L";"En volume aux prix de l’année précédente chaînés"
"PRICES";"Valorisation des prix";"_Z";"Non applicable"
"PRICES";"Valorisation des prix";"U";"Au coût de remplacement"
"PRICES";"Valorisation des prix";"O";"Au coût de remplacement de l’année précédente"
"PRICES";"Valorisation des prix";"LFA";"En volume aux prix de l’année précédente (fin d’année) chaînés"
"PRODUCT";"Produit";"_T";"Total"
"REF_SECTOR";"Secteur institutionnel";"S1";"Économie totale"
"REF_SECTOR";"Secteur institutionnel";"S13";"Administrations publiques"
"REF_SECTOR";"Secteur institutionnel";"S14";"Ménages"
"REF_SECTOR";"Secteur institutionnel";"S14B";"Ménages hors entrepreneurs individuels"
"REF_SECTOR";"Secteur institutionnel";"S15";"Institutions sans but lucratif au services des ménages"
"REF_SECTOR";"Secteur institutionnel";"S11X14AA";"Sociétés et entreprises individuelles non financières"
"REF_SECTOR";"Secteur institutionnel";"S11";"Sociétés non financières"
"REF_SECTOR";"Secteur institutionnel";"S12X14AF";"Sociétés et entreprises individuelles financières"
"REF_SECTOR";"Secteur institutionnel";"S13112";"Organismes divers d’administration centrale"
"REF_SECTOR";"Secteur institutionnel";"S12";"Sociétés financières"
"REF_SECTOR";"Secteur institutionnel";"S1313";"Administrations locales (à l’exclusion de la sécurité sociale)"
"REF_SECTOR";"Secteur institutionnel";"S1311";"Administration centrale (à l’exclusion de la sécurité sociale)"
"REF_SECTOR";"Secteur institutionnel";"S1314";"Administrations de sécurité sociale"
"REF_SECTOR";"Secteur institutionnel";"S13111";"État"
"REF_SECTOR";"Secteur institutionnel";"S14AA";"Entreprises individuelles non financières"
"REF_SECTOR";"Secteur institutionnel";"S1M";"Ménages et institutions sans but lucratif au services des ménages"
"REF_SECTOR";"Secteur institutionnel";"S1L";"APU, ménages et institutions sans but lucratif au services des ménages"
"REF_SECTOR";"Secteur institutionnel";"S12K64";"Sociétés financières : services principalement financiers, hors assurance"
"REF_SECTOR";"Secteur institutionnel";"S12K66";"Sociétés financières : services principalement d’auxiliaires financiers"
"REF_SECTOR";"Secteur institutionnel";"S12K65";"Sociétés financières : services principalement d’assurance"
"REF_SECTOR";"Secteur institutionnel";"_Z";"Non pertinent"
"REF_SECTOR";"Secteur institutionnel";"SBS";"Biens et services"
"REF_SECTOR";"Secteur institutionnel";"S10";"Total des secteurs résidents"
"REF_SECTOR";"Secteur institutionnel";"SZV";"Administrations publiques et institutions et organes de l’Union européenne"
"REF_SECTOR";"Secteur institutionnel";"S1N";"Non sectorisé"
"REF_SECTOR";"Secteur institutionnel";"S1312";"Administration d’états fédérés (à l’exclusion de la sécurité sociale)"
"REF_SECTOR";"Secteur institutionnel";"S2";"Reste du monde"
"REF_SECTOR";"Secteur institutionnel";"SZU";"Institutions de l’Union Européenne"
"REF_YEAR_PRICE";"Année de référence de l'indice de prix";"2020";"2020"
"STO";"Opération comptable";"P1";"Production"
"STO";"Opération comptable";"P2";"Consommation intermédiaire"
"STO";"Opération comptable";"D1";"Rémunération des salariés"
