"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACCOUNTING_ENTRY";"Position de compte";"C";"Ressource ou crédit"
"ACCOUNTING_ENTRY";"Position de compte";"D";"Emploi ou débit"
"ACCOUNTING_ENTRY";"Position de compte";"B";"Solde"
"ACCOUNTING_ENTRY";"Position de compte";"_Z";"Non applicable"
"ACTIVITY";"Activité économique";"A";"Agriculture, sylviculture et pêche"
"ACTIVITY";"Activité économique";"A03";"Pêche et aquaculture"
"ACTIVITY";"Activité économique";"BTE";"Industrie manufacturière, industries extractives et autres"
"ACTIVITY";"Activité économique";"B_D_E";"Industries extractives, énergie, eau, gestion des déchets et dépollution"
"ACTIVITY";"Activité économique";"A01";"Culture et production animale, chasse et services annexes"
"ACTIVITY";"Activité économique";"B06";"Extraction d'hydrocarbures"
"ACTIVITY";"Activité économique";"C10T12";"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
"ACTIVITY";"Activité économique";"A02";"Sylviculture et exploitation forestière"
"ACTIVITY";"Activité économique";"B";"Industries extractives"
"ACTIVITY";"Activité économique";"B07";"Extraction de minerais métalliques"
"ACTIVITY";"Activité économique";"C_OTH";"Autres industries manufacturières (C15, C23, C27, C31, C32, C33)"
"ACTIVITY";"Activité économique";"B08";"Autres industries extractives"
"ACTIVITY";"Activité économique";"C13T15";"Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure"
"ACTIVITY";"Activité économique";"C10";"Industries alimentaires"
"ACTIVITY";"Activité économique";"C13";"Fabrication de textiles"
"ACTIVITY";"Activité économique";"B09";"Services de soutien aux industries extractives"
"ACTIVITY";"Activité économique";"B05";"Extraction de houille et de lignite"
"ACTIVITY";"Activité économique";"C14";"Industrie de l'habillement"
"ACTIVITY";"Activité économique";"C11";"Fabrication de boissons"
"ACTIVITY";"Activité économique";"C16T18";"Travail du bois, industries du papier et imprimerie"
"ACTIVITY";"Activité économique";"C15";"Industrie du cuir et de la chaussure"
"ACTIVITY";"Activité économique";"C12";"Fabrication de produits à base de tabac"
"ACTIVITY";"Activité économique";"C16";"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"
"ACTIVITY";"Activité économique";"C17";"Industrie du papier et du carton"
"ACTIVITY";"Activité économique";"C18";"Imprimerie et reproduction d'enregistrements"
"ACTIVITY";"Activité économique";"C19";"Cokéfaction et raffinage"
"ACTIVITY";"Activité économique";"C20";"Industrie chimique"
"ACTIVITY";"Activité économique";"C21";"Industrie pharmaceutique"
"ACTIVITY";"Activité économique";"C23";"Fabrication d'autres produits minéraux non métalliques"
"ACTIVITY";"Activité économique";"C22_23";"Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques"
"ACTIVITY";"Activité économique";"C24_25";"Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements"
"ACTIVITY";"Activité économique";"C25";"Fabrication de produits métalliques, à l'exception des machines et des équipements"
"ACTIVITY";"Activité économique";"C26T28";"Fabrication de produits informatiques, électroniques et optiques, d'équipements électriques, et de machines et équipements n.c.a."
"ACTIVITY";"Activité économique";"C26";"Fabrication de produits informatiques, électroniques et optiques"
"ACTIVITY";"Activité économique";"C22";"Fabrication de produits en caoutchouc et en plastique"
"ACTIVITY";"Activité économique";"C27";"Fabrication d'équipements électriques"
"ACTIVITY";"Activité économique";"C28";"Fabrication de machines et équipements n.c.a."
"ACTIVITY";"Activité économique";"C24";"Métallurgie"
"ACTIVITY";"Activité économique";"C29_30";"Fabrication de matériels de transport"
"ACTIVITY";"Activité économique";"C29";"Industrie automobile"
"ACTIVITY";"Activité économique";"C30";"Fabrication d'autres matériels de transport"
"ACTIVITY";"Activité économique";"C31T33";"Autres industries manufacturières ; réparation et installation de machines et d'équipements"
"ACTIVITY";"Activité économique";"C32";"Autres industries manufacturières"
"ACTIVITY";"Activité économique";"C33";"Réparation et installation de machines et d'équipements"
"ACTIVITY";"Activité économique";"D35";"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
"ACTIVITY";"Activité économique";"C31";"Fabrication de meubles"
"ACTIVITY";"Activité économique";"E";"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
"ACTIVITY";"Activité économique";"E36";"Captage, traitement et distribution d'eau"
"ACTIVITY";"Activité économique";"E37";"Collecte et traitement des eaux usées"
"ACTIVITY";"Activité économique";"E38";"Collecte, traitement et élimination des déchets ; récupération"
"ACTIVITY";"Activité économique";"E39";"Dépollution et autres services de gestion des déchets"
"ACTIVITY";"Activité économique";"F";"Construction"
"ACTIVITY";"Activité économique";"F42";"Génie civil"
"ACTIVITY";"Activité économique";"F43";"Travaux de construction spécialisés"
"ACTIVITY";"Activité économique";"GTN_RTU";"Services principalement marchands"
"ACTIVITY";"Activité économique";"F41";"Construction de bâtiments"
"ACTIVITY";"Activité économique";"GTI";"Commerce de gros et de détail, transports, hébergement et restauration"
"ACTIVITY";"Activité économique";"G";"Commerce ; réparation d'automobiles et de motocycles"
"ACTIVITY";"Activité économique";"G45";"Commerce et réparation d'automobiles et de motocycles"
"ACTIVITY";"Activité économique";"G46";"Commerce de gros, à l'exception des automobiles et des motocycles"
"ACTIVITY";"Activité économique";"G47";"Commerce de détail, à l'exception des automobiles et des motocycles"
"ACTIVITY";"Activité économique";"H";"Transports et entreposage"
"ACTIVITY";"Activité économique";"H49";"Transports terrestres et transport par conduites"
"ACTIVITY";"Activité économique";"H50";"Transports par eau"
"ACTIVITY";"Activité économique";"H51";"Transports aériens"
"ACTIVITY";"Activité économique";"H53";"Activités de poste et de courrier"
"ACTIVITY";"Activité économique";"I";"Hébergement et restauration"
"ACTIVITY";"Activité économique";"H52";"Entreposage et services auxiliaires des transports"
"ACTIVITY";"Activité économique";"I55";"Hébergement"
"ACTIVITY";"Activité économique";"I56";"Restauration"
"ACTIVITY";"Activité économique";"J";"Information et communication"
"ACTIVITY";"Activité économique";"J58T60";"Édition, audiovisuel et diffusion"
"ACTIVITY";"Activité économique";"J58";"Édition"
"ACTIVITY";"Activité économique";"J59";"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale"
"ACTIVITY";"Activité économique";"J60";"Programmation et diffusion"
"ACTIVITY";"Activité économique";"J61";"Télécommunications"
"ACTIVITY";"Activité économique";"J62_63";"Programmation, conseil et autres activités informatiques ; services d'information"
"ACTIVITY";"Activité économique";"J63";"Services d'information"
"ACTIVITY";"Activité économique";"K65";"Assurance"
"ACTIVITY";"Activité économique";"K66";"Activités auxiliaires de services financiers et d'assurance"
"ACTIVITY";"Activité économique";"K";"Activités financières et d'assurance"
"ACTIVITY";"Activité économique";"J62";"Programmation, conseil et autres activités informatiques"
"ACTIVITY";"Activité économique";"L";"Activités immobilières"
"ACTIVITY";"Activité économique";"L68";"Activités immobilières"
"ACTIVITY";"Activité économique";"M_N";"Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien"
"ACTIVITY";"Activité économique";"M69T71";"Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques"
"ACTIVITY";"Activité économique";"M69";"Activités juridiques et comptables"
"ACTIVITY";"Activité économique";"M70";"Activités des sièges sociaux ; conseil de gestion"
"ACTIVITY";"Activité économique";"K64";"Activités des services financiers, hors assurance et caisses de retraite"
"ACTIVITY";"Activité économique";"M71";"Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques"
"ACTIVITY";"Activité économique";"M72";"Recherche-développement scientifique"
"ACTIVITY";"Activité économique";"M73T75";"Publicité et études de marché ; autres activités spécialisées, scientifiques et techniques ; activités vétérinaires"
"ACTIVITY";"Activité économique";"M74";"Autres activités spécialisées, scientifiques et techniques"
